"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
"59",60,67,1.39165675197896,0.0227956738497621,1.34733276275587,1.35437468472802,1.3762142131674,1.39153228774298,1.40696360980653,1.42936337814701,1.43668805880534,2020-05-03
"60",61,68,1.38691904048257,0.0218881136809767,1.34434723672653,1.3511137487775,1.37209364073575,1.38680389738847,1.40161892035389,1.42311709579621,1.43014519089916,2020-05-04
"61",62,69,1.41445176021611,0.021292231369581,1.37302415911036,1.37961232056736,1.40003272669138,1.41434492187749,1.42875432698981,1.44965563515159,1.45648651306195,2020-05-05
"62",63,70,1.41739453142219,0.0205247129333173,1.37744907242352,1.38380419364544,1.40349735217608,1.41729546265043,1.43118371364465,1.45132280175709,1.45790298859932,2020-05-06
"63",64,71,1.39641364295153,0.0195883002763809,1.35828219427203,1.36435072518619,1.38315208513448,1.39632205188773,1.40957535532664,1.42878898611458,1.43506559480861,2020-05-07
"64",65,72,1.35077608386315,0.0185281359295233,1.31470291428791,1.32044517943086,1.33823329938737,1.35069137009568,1.36322651997083,1.3813959546008,1.38733067365709,2020-05-08
"65",66,73,1.26394898549295,0.0172755118565658,1.23031379788909,1.23566816652562,1.25225432614263,1.26387027978324,1.27555784599029,1.29249827673658,1.29803145010679,2020-05-09
"66",67,74,1.27230403116651,0.016787409622035,1.23961160854599,1.24481769858218,1.26094121030276,1.27223019812889,1.28358636496185,1.30004221488643,1.30541603993568,2020-05-10
"67",68,75,1.25854087875614,0.0162490470234896,1.22689250008992,1.23193337488256,1.24754327914943,1.25847094885417,1.2694622461778,1.28538691980923,1.29058666245859,2020-05-11
"68",69,76,1.2379117726544,0.0156936762712822,1.2073416068316,1.21221157629925,1.22729071054137,1.23784545421543,1.24846053951057,1.26383818715721,1.26885881993832,2020-05-12
"69",70,77,1.20950252659832,0.0151270564547571,1.18003363909447,1.18472875451249,1.19926539884121,1.20943946328352,1.21967090757738,1.23449141330629,1.23932979701776,2020-05-13
"70",71,78,1.17781912335523,0.0145866245109312,1.14940134791073,1.15392939973809,1.167948048009,1.17775890820095,1.18762455676436,1.20191424626032,1.20657909589884,2020-05-14
